name,location,city,P.O Box,Phone,Mobile,company_page_link,Logo url
,"<span itemprop=""streetAddress"">Near Mubarak Centre, Al Nabbah Area</span>","City : Sharjah,  UAE ",40179,Phone : 06-5638761Call,Phone : 06-5638761Call,,
,"<span itemprop=""streetAddress"">Al Khail Mall, Al Quoz Indl Area</span>","City : Dubai,  UAE ",124145,Phone : 04-3397925Call,Phone : 04-3397925Call,,
,"<span itemprop=""streetAddress"">Near NMC Hospital, Amman Rd, Al Nahda 2</span>","City : Dubai,  UAE ",,Phone : 04-2574448Call,Phone : 04-2574448Call,,
,"<span itemprop=""streetAddress"">Muroor Rd</span>","City : Abu Dhabi,  UAE ",70112,Phone : 02-4431848Call,Phone : 02-4431848Call,,
,"<span itemprop=""streetAddress"">Hamdan St</span>","City : Abu Dhabi,  UAE ",4862,Phone : 02-6335214Call,Phone : 02-6335214Call,,
,"<span itemprop=""streetAddress"">Opp Ajman Traffic Police Dept</span>","City : Ajman,  UAE ",2,Phone : 06-7462277Call,Phone : 06-7462277Call,,
,"<span itemprop=""streetAddress"">Jamal Abdul Nasir Street</span>","City : Sharjah,  UAE ",,Phone : 06-5501999Call,Phone : 06-5501999Call,,
,"<span itemprop=""streetAddress"">Bhnd Joy Alukkas, Rolla</span>","City : Sharjah,  UAE ",2907,Phone : 06-5615335Call,Phone : 06-5615335Call,,
,"<span itemprop=""streetAddress"">Fathima Hamdan Bin Kadim Bldg, Al Qasimiya St, Abu Shaghara</span>","City : Sharjah,  UAE ",,Phone : 06-5506674Call,Phone : 06-5506674Call,,
,"<span itemprop=""streetAddress"">Near Mega Mall, Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5512323Call,Phone : 06-5512323Call,,
,"<span itemprop=""streetAddress"">Next KFC, Airport Rd</span>","City : Abu Dhabi,  UAE ",25361,Phone : 02-6422507Call,Phone : 02-6422507Call,,
,,"City : Dubai,  UAE ",,Phone : 04-2621704Call,Phone : 04-2621704Call,,
,"<span itemprop=""streetAddress"">Shop 2 &amp; 3, Al Qassimiya</span>","City : Sharjah,  UAE ",30459,Phone : 06-5507939Call,Phone : 06-5507939Call,,
,"<span itemprop=""streetAddress"">Al Quoz Indl Area</span>","City : Dubai,  UAE ",,Phone : 04-3470787Call,Phone : 04-3470787Call,,
,"<span itemprop=""streetAddress"">Near Asmara S/Market, Al Mamoorah</span>","City : Ras Al Khaimah,  UAE ",12242,Phone : 07-2236516Call,Phone : 07-2236516Call,,
,"<span itemprop=""streetAddress"">Dubai Silicon Oasis Authority</span>","City : Dubai,  UAE ",19492,Phone : 04-3264949Call,Phone : 04-3264949Call,,
,"<span itemprop=""streetAddress"">Al Mamzar Building, Abu Hail</span>","City : Dubai,  UAE ",,Phone : 04-2667749Call,Phone : 04-2667749Call,,
,"<span itemprop=""streetAddress"">Al Nasr St</span>","City : Abu Dhabi,  UAE ",71955,Phone : 02-6215242Call,Phone : 02-6215242Call,,
,"<span itemprop=""streetAddress"">Jamal Abdul Nasir Street</span>","City : Sharjah,  UAE ",,Phone : 06-5444066Call,Phone : 06-5444066Call,,
,"<span itemprop=""streetAddress"">Opp Safeer Mall, Ittihad Road</span>","City : Sharjah,  UAE ",,Phone : 06-5256663Call,Phone : 06-5256663Call,,
,"<span itemprop=""streetAddress"">Near Manama Center, Fire Stn R/A</span>","City : Sharjah,  UAE ",,Phone : 06-5628928Call,Phone : 06-5628928Call,,
,"<span itemprop=""streetAddress"">Near Natl S/Market, Rams Rd</span>","City : Ras Al Khaimah,  UAE ",4612,Phone : 07-2238349Call,Phone : 07-2238349Call,,
,,"City : Sharjah,  UAE ",70803,Phone : 06-5515957Call,Phone : 06-5515957Call,,
,"<span itemprop=""streetAddress"">Mussafah Indl Area</span>","City : Abu Dhabi,  UAE ",51845,Phone : 02-5510370Call,Phone : 02-5510370Call,,
,"<span itemprop=""streetAddress"">Near Immigration Office, Al Kuwait Rd</span>","City : Sharjah,  UAE ",6006,Phone : 06-5731555Call,Phone : 06-5731555Call,,
,"<span itemprop=""streetAddress"">Al Etihad Rd</span>","City : Umm Al Quwain,  UAE ",505,Phone : 06-7670077Call,Phone : 06-7670077Call,,
,"<span itemprop=""streetAddress"">Near Moonlight S/Market, Julphar Rd, Julan</span>","City : Ras Al Khaimah,  UAE ",4803,Phone : 07-2238610Call,Phone : 07-2238610Call,,
,"<span itemprop=""streetAddress"">Garhoud</span>","City : Dubai,  UAE ",37137,Phone : 04-2823922Call,Phone : 04-2823922Call,,
,"<span itemprop=""streetAddress"">Next to Fujairah Trade Centre, Beside Etisalat Bldg</span>","City : Fujairah,  UAE ",1199,Phone : 09-2232000Call,Phone : 09-2232000Call,,
,"<span itemprop=""streetAddress"">Behind Labour Ministry, Hor Al Anz</span>","City : Dubai,  UAE ",,Phone : 04-2664660Call,Phone : 04-2664660Call,,
,"<span itemprop=""streetAddress"">Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5482275Call,Phone : 06-5482275Call,,
,"<span itemprop=""streetAddress"">Al Salam Road</span>","City : Fujairah,  UAE ",,Phone : 09-2235151Call,Phone : 09-2235151Call,,
,"<span itemprop=""streetAddress"">Baladiya Building, Near Wadi 28, Al Maqam</span>","City : Al Ain,  UAE ",3232,Phone : 03-7681200Call,Phone : 03-7681200Call,,
,"<span itemprop=""streetAddress"">Al Ghusais</span>","City : Dubai,  UAE ",18977,Phone : 04-2673141Call,Phone : 04-2673141Call,,
,"<span itemprop=""streetAddress"">Near Ritz Carlton, Vietnam Village</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4481144Call,Phone : 02-4481144Call,,
,"<span itemprop=""streetAddress"">Behind Crown Plaza, Hamdan Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6333777Call,Phone : 02-6333777Call,,
,"<span itemprop=""streetAddress"">Near Etisalat Office, Hamdan Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6393335Call,Phone : 02-6393335Call,,
,"<span itemprop=""streetAddress"">Opp Old Fire Brigade, Al Muntazar Rd</span>","City : Ras Al Khaimah,  UAE ",10308,Phone : 07-2285682Call,Phone : 07-2285682Call,,
,"<span itemprop=""streetAddress"">Electra Rd</span>","City : Abu Dhabi,  UAE ",36874,Phone : 02-6782973Call,Phone : 02-6782973Call,,
,"<span itemprop=""streetAddress"">Near Fire Station, Dibba</span>","City : Fujairah,  UAE ",13227,Phone : 09-2443211Call,Phone : 09-2443211Call,,
,"<span itemprop=""streetAddress"">Bin Sultan Rd, Mamourah</span>","City : Ras Al Khaimah,  UAE ",5410,Phone : 07-2282959Call,Phone : 07-2282959Call,,
,"<span itemprop=""streetAddress"">DIFC</span>","City : Dubai,  UAE ",,Phone : 04-3524000Call,Phone : 04-3524000Call,,
,"<span itemprop=""streetAddress"">Behind KIA Showroom, TCA</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6770014Call,Phone : 02-6770014Call,,
,"<span itemprop=""streetAddress"">Near Rotana Hotel, Nabaa</span>","City : Sharjah,  UAE ",96159,Phone : 06-5632275Call,Phone : 06-5632275Call,,
,"<span itemprop=""streetAddress"">Sunshine Bldg, Near Al Tayer Motors, Al Garhoud</span>","City : Dubai,  UAE ",57671,Phone : 04-2868244Call,Phone : 04-2868244Call,,
,"<span itemprop=""streetAddress"">Salam St</span>","City : Abu Dhabi,  UAE ",4602,Phone : 02-6447979Call,Phone : 02-6447979Call,,
,"<span itemprop=""streetAddress"">Al Garhoud</span>","City : Dubai,  UAE ",40350,Phone : 04-2823388Call,Phone : 04-2823388Call,,
,"<span itemprop=""streetAddress"">Al Hamra, Jazeera</span>","City : Ras Al Khaimah,  UAE ",6487,Phone : 07-2445416Call,Phone : 07-2445416Call,,
,"<span itemprop=""streetAddress"">Near Emarat Petrol Pump, Bazaar Area</span>","City : Umm Al Quwain,  UAE ",213,Phone : 06-7656965Call,Phone : 06-7656965Call,,
,"<span itemprop=""streetAddress"">Khalidia</span>","City : Abu Dhabi,  UAE ",480,Phone : 02-6215116Call,Phone : 02-6215116Call,,
,"<span itemprop=""streetAddress"">Near Liberty Signal, Al Wahda St</span>","City : Sharjah,  UAE ",,Phone : 06-5259382Call,Phone : 06-5259382Call,,
,"<span itemprop=""streetAddress"">Opp New Burjuman Centre, Karama</span>","City : Dubai,  UAE ",,Phone : 04-3977070Call,Phone : 04-3977070Call,,
,,"City : Dubai,  UAE ",,Phone : 04-3311170Call,Phone : 04-3311170Call,,
,"<span itemprop=""streetAddress"">Beach Road, Jumeirah 1</span>","City : Dubai,  UAE ",,Phone : 04-3444874Call,Phone : 04-3444874Call,,
,"<span itemprop=""streetAddress"">Near Mubarak Centre, Al Nabba, Rolla</span>","City : Sharjah,  UAE ",4362,Phone : 06-5618840Call,Phone : 06-5618840Call,,
,"<span itemprop=""streetAddress"">Opp Emirates Islamic Bank, Near National Paints, Kalba Rd</span>","City : Sharjah,  UAE ",,Phone : 06-5358438Call,Phone : 06-5358438Call,,
,"<span itemprop=""streetAddress"">Khabisi Area</span>","City : Al Ain,  UAE ",67394,Phone : 03-7620492Call,Phone : 03-7620492Call,,
,"<span itemprop=""streetAddress"">Near Mussalla Park</span>","City : Sharjah,  UAE ",,Phone : 06-5620410Call,Phone : 06-5620410Call,,
,,"City : Jebel Ali,  UAE ",21984,,,,
,"<span itemprop=""streetAddress"">Near Old Honda S/R, Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5447373Call,Phone : 06-5447373Call,,
,"<span itemprop=""streetAddress"">Opp Sadaf Rest, Al Marija St, Mena Rd</span>","City : Sharjah,  UAE ",,Phone : 06-0522554Call,Phone : 06-0522554Call,,
,"<span itemprop=""streetAddress"">Near Zulekha Hospital, Al Zahra St, Nasiriya</span>","City : Sharjah,  UAE ",,Phone : 06-5656127Call,Phone : 06-5656127Call,,
,"<span itemprop=""streetAddress"">Al Diyafa</span>","City : Dubai,  UAE ",,Phone : 04-3980123Call,Phone : 04-3980123Call,,
,"<span itemprop=""streetAddress"">Al Mamzar Building, Bhnd Public Library</span>","City : Dubai,  UAE ",,Phone : 04-2628781Call,Phone : 04-2628781Call,,
,,"City : Dubai,  UAE ",5060,Phone : 04-3808787Call,Phone : 04-3808787Call,,
,"<span itemprop=""streetAddress"">Deira</span>","City : Dubai,  UAE ",5060,Phone : 04-2973000Call,Phone : 04-2973000Call,,
,,"City : Sharjah,  UAE ",,Phone : 06-5368950Call,Phone : 06-5368950Call,,
,"<span itemprop=""streetAddress"">Al Buhaira</span>","City : Sharjah,  UAE ",,Phone : 06-5564443Call,Phone : 06-5564443Call,,
,"<span itemprop=""streetAddress"">Near Sahara Centre, Al Nahda St</span>","City : Sharjah,  UAE ",21107,Phone : 06-5314858Call,Phone : 06-5314858Call,,
,"<span itemprop=""streetAddress"">Bhnd Old Sharjah Cinema, Rolla</span>","City : Sharjah,  UAE ",20164,Phone : 06-5681059Call,Phone : 06-5681059Call,,
,"<span itemprop=""streetAddress"">Near Taxi Station, Industrial Area</span>","City : Umm Al Quwain,  UAE ",387,Phone : 06-7664386Call,Phone : 06-7664386Call,,
,"<span itemprop=""streetAddress"">Opp Al Majaz Park, Al Wahda St</span>","City : Sharjah,  UAE ",23935,Phone : 06-5599554Call,Phone : 06-5599554Call,,
,"<span itemprop=""streetAddress"">Bur Dubai</span>","City : Dubai,  UAE ",102995,Phone : 04-3930042Call,Phone : 04-3930042Call,,
,"<span itemprop=""streetAddress"">Near Wafa Supermarket, National Paint</span>","City : Sharjah,  UAE ",25648,Phone : 06-5340441Call,Phone : 06-5340441Call,,
,"<span itemprop=""streetAddress"">Jumeirah St, Umm Suqeim 2</span>","City : Dubai,  UAE ",,Phone : 800-625527Call,Phone : 800-625527Call,,
,"<span itemprop=""streetAddress"">Near Fire Station, Muwaileh</span>","City : Sharjah,  UAE ",,Phone : 06-5356919Call,Phone : 06-5356919Call,,
,"<span itemprop=""streetAddress"">Near Fair Point, Kalba Rd, Indl Area 17</span>","City : Sharjah,  UAE ",,Phone : 06-5359454Call,Phone : 06-5359454Call,,
,"<span itemprop=""streetAddress"">Khalidiya</span>","City : Abu Dhabi,  UAE ",42756,Phone : 02-6219001Call,Phone : 02-6219001Call,,
,"<span itemprop=""streetAddress"">Near KM Trading, Opp Tasheel. Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5599356Call,Phone : 06-5599356Call,,
,"<span itemprop=""streetAddress"">Frij Murar, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2711945Call,Phone : 04-2711945Call,,
,"<span itemprop=""streetAddress"">Abu Dhabi Corniche</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6440440Call,Phone : 02-6440440Call,,
,"<span itemprop=""streetAddress"">Deira</span>","City : Dubai,  UAE ",,Phone : 04-2222622Call,Phone : 04-2222622Call,,
,"<span itemprop=""streetAddress"">Liwa</span>","City : Abu Dhabi,  UAE ",,Phone : 02-8822000Call,Phone : 02-8822000Call,,
,"<span itemprop=""streetAddress"">Bhnd Central Bank, Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5593398Call,Phone : 06-5593398Call,,
,"<span itemprop=""streetAddress"">Al Muraqabbat Road</span>","City : Dubai,  UAE ",82999,Phone : 04-2128268Call,Phone : 04-2128268Call,,
,"<span itemprop=""streetAddress"">Al Nahda</span>","City : Sharjah,  UAE ",,Phone : 06-5454422Call,Phone : 06-5454422Call,,
,"<span itemprop=""streetAddress"">Nakheel</span>","City : Dubai,  UAE ",7978,Phone : 04-3171100Call,Phone : 04-3171100Call,,
,"<span itemprop=""streetAddress"">Behind Fortune Hotel, Naif</span>","City : Dubai,  UAE ",,Phone : 04-2233661Call,Phone : 04-2233661Call,,
,"<span itemprop=""streetAddress"">Behind UAE Exchange, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3539926Call,Phone : 04-3539926Call,,
,"<span itemprop=""streetAddress"">Lulu Village, Muhaisnah, Qusais</span>","City : Dubai,  UAE ",7135,Phone : 04-2641925Call,Phone : 04-2641925Call,,
,"<span itemprop=""streetAddress"">R/A 5, Jebel Ali Free Zone</span>","City : Jebel Ali,  UAE ",16837,Phone : 04-8818600Call,Phone : 04-8818600Call,,
,"<span itemprop=""streetAddress"">Bur Dubai</span>","City : Dubai,  UAE ",85549,Phone : 04-3593136Call,Phone : 04-3593136Call,,
,"<span itemprop=""streetAddress"">Sh Ahmed Bin Mohd Sharqi Road, Dibba Al Fujairah</span>","City : Dibba,  UAE ",12134,Phone : 09-2441404Call,Phone : 09-2441404Call,,
,"<span itemprop=""streetAddress"">Dibba</span>","City : Fujairah,  UAE ",13124,Phone : 09-2441404Call,Phone : 09-2441404Call,,
,"<span itemprop=""streetAddress"">Near Main Gate, R/A 5, Jebel Ali Free Zone</span>","City : Jebel Ali,  UAE ",16837,Phone : 04-8818518Call,Phone : 04-8818518Call,,
,"<span itemprop=""streetAddress"">Al Quoz 3</span>","City : Dubai,  UAE ",11780,Phone : 04-3392633Call,Phone : 04-3392633Call,,
,"<span itemprop=""streetAddress"">Al Nahda</span>","City : Sharjah,  UAE ",,Phone : 06-5316696Call,Phone : 06-5316696Call,,
,"<span itemprop=""streetAddress"">Al Zahara</span>","City : Ajman,  UAE ",1259,Phone : 06-7431383Call,Phone : 06-7431383Call,,
,"<span itemprop=""streetAddress"">TCA</span>","City : Abu Dhabi,  UAE ",45240,Phone : 02-6449933Call,Phone : 02-6449933Call,,
,,"City : Dubai,  UAE ",36093,Phone : 04-2850530Call,Phone : 04-2850530Call,,
,"<span itemprop=""streetAddress"">Al Nahda</span>","City : Dubai,  UAE ",,Phone : 04-2344455Call,Phone : 04-2344455Call,,
,"<span itemprop=""streetAddress"">Behind First Abu Dhabi Bank, Near Al Noor Hospital, Khalifa Street, Al Markaziya</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6272637Call,Phone : 02-6272637Call,,
,"<span itemprop=""streetAddress"">Liwa</span>","City : Abu Dhabi,  UAE ",,Phone : 02-8822000Call,Phone : 02-8822000Call,,
,"<span itemprop=""streetAddress"">Al Quoz</span>","City : Dubai,  UAE ",,Phone : 04-3383183Call,Phone : 04-3383183Call,,
,"<span itemprop=""streetAddress"">Abu Hail</span>","City : Dubai,  UAE ",,Phone : 04-2699910Call,Phone : 04-2699910Call,,
,"<span itemprop=""streetAddress"">Al Qusais</span>","City : Dubai,  UAE ",2601,Phone : 04-2632700Call,Phone : 04-2632700Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6668649Call,Phone : 02-6668649Call,,
,"<span itemprop=""streetAddress"">Al Nakheel, Opp Al Rais Travels</span>","City : Ras Al Khaimah,  UAE ",13135,Phone : 07-2283889Call,Phone : 07-2283889Call,,
,"<span itemprop=""streetAddress"">Al Qassimia</span>","City : Sharjah,  UAE ",,Phone : 06-5751235Call,Phone : 06-5751235Call,,
,"<span itemprop=""streetAddress"">Central Market, Dibba Al Hassan</span>","City : Dibba,  UAE ",12116,Phone : 09-2444749Call,Phone : 09-2444749Call,,
,"<span itemprop=""streetAddress"">Mussafah 10</span>","City : Abu Dhabi,  UAE ",,Phone : 02-5522585Call,Phone : 02-5522585Call,,
,"<span itemprop=""streetAddress"">Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5485996Call,Phone : 06-5485996Call,,
,"<span itemprop=""streetAddress"">Shaikh Zayed Road</span>","City : Dubai,  UAE ",,Phone : 04-3234333Call,Phone : 04-3234333Call,,
,"<span itemprop=""streetAddress"">Satwa</span>","City : Dubai,  UAE ",,Phone : 04-3290052Call,Phone : 04-3290052Call,,
,"<span itemprop=""streetAddress"">Muradi Rd, Satwa</span>","City : Dubai,  UAE ",,Phone : 04-3327375Call,Phone : 04-3327375Call,,
,"<span itemprop=""streetAddress"">Bateen</span>","City : Abu Dhabi,  UAE ",46127,Phone : 02-6651164Call,Phone : 02-6651164Call,,
,"<span itemprop=""streetAddress"">Oman Rd, Al Nakheel</span>","City : Ras Al Khaimah,  UAE ",11598,Phone : 07-2288354Call,Phone : 07-2288354Call,,
,"<span itemprop=""streetAddress"">Next to Dubai Women's College, Bhnd NMC, Al Qusais</span>","City : Dubai,  UAE ",,Phone : 04-2677917Call,Phone : 04-2677917Call,,
,"<span itemprop=""streetAddress"">Jumeirah Beach Road, Umm Suqeim 2</span>","City : Dubai,  UAE ",233485,Phone : 04-3399517Call,Phone : 04-3399517Call,,
,"<span itemprop=""streetAddress"">Near Al Wafa Centre, Muweilah</span>","City : Sharjah,  UAE ",,Phone : 06-5356366Call,Phone : 06-5356366Call,,
,"<span itemprop=""streetAddress"">Near Al Waheda Post, Jamal Abdel Naser St</span>","City : Sharjah,  UAE ",,Phone : 06-5535505Call,Phone : 06-5535505Call,,
,"<span itemprop=""streetAddress"">Jamal Abdul Nasir St</span>","City : Sharjah,  UAE ",,Phone : 06-5558086Call,Phone : 06-5558086Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6416616Call,Phone : 02-6416616Call,,
,"<span itemprop=""streetAddress"">Khalifa St</span>","City : Abu Dhabi,  UAE ",41230,Phone : 02-6277204Call,Phone : 02-6277204Call,,
,"<span itemprop=""streetAddress"">Khalfa Street A Noor Hosptal Bldg.</span>","City : Abu Dhabi,  UAE ",,Phone : 050-8383454Call,Phone : 050-8383454Call,,
,"<span itemprop=""streetAddress"">Khalifa St</span>","City : Abu Dhabi,  UAE ",41230,Phone : 02-6277204Call,Phone : 02-6277204Call,,
,"<span itemprop=""streetAddress"">Bur Dubai</span>","City : Dubai,  UAE ",50589,Phone : 04-3935678Call,Phone : 04-3935678Call,,
,"<span itemprop=""streetAddress"">Dubai Marina</span>","City : Dubai,  UAE ",238888,Phone : 04-4525254Call,Phone : 04-4525254Call,,
,"<span itemprop=""streetAddress"">Old Passport Rd</span>","City : Abu Dhabi,  UAE ",55104,Phone : 02-6723472Call,Phone : 02-6723472Call,,
,"<span itemprop=""streetAddress"">Al Qassimia</span>","City : Sharjah,  UAE ",,Phone : 06-5743422Call,Phone : 06-5743422Call,,
,"<span itemprop=""streetAddress"">Al Zahra St, Maysaloon</span>","City : Sharjah,  UAE ",,Phone : 06-5638988Call,Phone : 06-5638988Call,,
,"<span itemprop=""streetAddress"">Al Sheebani Building, Al Seba St, Dubai Marina</span>","City : Dubai,  UAE ",,Phone : 04-5530501Call,Phone : 04-5530501Call,,
,"<span itemprop=""streetAddress"">Defence Rd</span>","City : Abu Dhabi,  UAE ",70070,Phone : 02-6415035Call,Phone : 02-6415035Call,,
,"<span itemprop=""streetAddress"">Opp Dubai Comml Bank, Al Nakheel</span>","City : Ras Al Khaimah,  UAE ",1063,Phone : 07-2221076Call,Phone : 07-2221076Call,,
,"<span itemprop=""streetAddress"">Ras Al Khor</span>","City : Dubai,  UAE ",66743,Phone : 04-2894328Call,Phone : 04-2894328Call,,
,"<span itemprop=""streetAddress"">Opp New Etisalat Building, Near Al Ghubaiba Bus Stn, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3933812Call,Phone : 04-3933812Call,,
,"<span itemprop=""streetAddress"">Corniche Rd</span>","City : Ajman,  UAE ",4683,Phone : 06-7473569Call,Phone : 06-7473569Call,,
,"<span itemprop=""streetAddress"">Sahara Mall</span>","City : Sharjah,  UAE ",,Phone : 06-5251919Call,Phone : 06-5251919Call,,
,"<span itemprop=""streetAddress"">Bhnd Pic &amp; Save S/Market, King Faisal Rd</span>","City : Sharjah,  UAE ",4427,Phone : 06-5598255Call,Phone : 06-5598255Call,,
,"<span itemprop=""streetAddress"">Al Baraha, Deira</span>","City : Dubai,  UAE ",251792,Phone : 04-2711273Call,Phone : 04-2711273Call,,
,"<span itemprop=""streetAddress"">Crowne Plaza, Sh zayed road</span>","City : Dubai,  UAE ",,Phone : 04-3311111Call,Phone : 04-3311111Call,,
,"<span itemprop=""streetAddress"">Damascus Rd, Al Qusais</span>","City : Dubai,  UAE ",48600,Phone : 04-2676622Call,Phone : 04-2676622Call,,
,,"City : Sharjah,  UAE ",,Phone : 06-5650164Call,Phone : 06-5650164Call,,
,"<span itemprop=""streetAddress"">Al Rashidiya 1</span>","City : Ajman,  UAE ",1175,Phone : 06-7408413Call,Phone : 06-7408413Call,,
,"<span itemprop=""streetAddress"">Qasar Al Sarab Desert Resort</span>","City : Abu Dhabi,  UAE ",,Phone : 02-8862088Call,Phone : 02-8862088Call,,
,"<span itemprop=""streetAddress"">Opp Sana Fashions, Al Qassimia Rd</span>","City : Sharjah,  UAE ",63609,Phone : 06-5396960Call,Phone : 06-5396960Call,,
,"<span itemprop=""streetAddress"">Opp Taxi Stand, Bur Dubai</span>","City : Dubai,  UAE ",52681,Phone : 04-3933612Call,Phone : 04-3933612Call,,
,"<span itemprop=""streetAddress"">Near Hilal Bank, Abdul Aziz Rd</span>","City : Sharjah,  UAE ",,Phone : 06-5482240Call,Phone : 06-5482240Call,,
,"<span itemprop=""streetAddress"">Abu Hail</span>","City : Dubai,  UAE ",,Phone : 04-2662207Call,Phone : 04-2662207Call,,
,"<span itemprop=""streetAddress"">Damascus Street, Al Qusais</span>","City : Dubai,  UAE ",,Phone : 04-2635470Call,Phone : 04-2635470Call,,
,"<span itemprop=""streetAddress"">Deira</span>","City : Dubai,  UAE ",29688,Phone : 04-2221422Call,Phone : 04-2221422Call,,
,"<span itemprop=""streetAddress"">King Faisal Street</span>","City : Sharjah,  UAE ",,Phone : 06-5448817Call,Phone : 06-5448817Call,,
,"<span itemprop=""streetAddress"">Oaks Liwa Heights Hotel, JLT</span>","City : Dubai,  UAE ",,Phone : 04-4363434Call,Phone : 04-4363434Call,,
,"<span itemprop=""streetAddress"">Al Zahra St, Nasseriya</span>","City : Sharjah,  UAE ",,Phone : 06-5655253Call,Phone : 06-5655253Call,,
